tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-mass,animal-sex,attachment-type,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
151-4784,Jed_MC533,Felis catus,2016-07-31 00:00:00.000,,adult (4 y),3900.0,m,collar,transmission-end,151-4784_Jed_MC533,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-2376,Ken_MC536,Felis catus,2016-08-31 14:00:36.000,2017-04-01 00:00:00.000,adult (4 y),4000.0,m,collar,removal,150-2376_Ken_MC536-16,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
151-4985,Jon_MC566,Felis catus,2016-08-31 14:00:36.000,2016-10-25 00:00:00.000,adult (5 y),3800.0,m,collar,transmission-end,151-4985_Jon_MC566,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
151-4776,Con_MC266,Felis catus,2016-08-31 14:00:37.000,2017-01-25 00:00:00.000,adult,3900.0,m,collar,transmission-end,151-4776_Con_MC266,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-2175,Wes_MC937,Felis catus,2016-11-30 14:00:38.000,2017-03-25 00:00:00.000,adult,4400.0,m,collar,transmission-end,150-2175_Wes_MC937,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
151-4381,Ken_MC536,Felis catus,2017-04-01 09:00:39.000,2017-12-25 00:00:00.000,adult,,m,collar,removal,151-4381_Ken_MC536-17,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-2579,Tex_MC839,Felis catus,2017-06-12 23:00:37.000,2017-07-20 00:00:00.000,adult,4600.0,m,collar,transmission-end,150-2579_Tex_MC839,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-1581,Ivy_FC489,Felis catus,2017-06-18 00:36:36.000,2018-03-14 00:00:00.000,adult,3200.0,f,collar,removal,150-1581_Ivy_FC489,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-2381,Ray_MC729,Felis catus,2017-06-21 03:48:37.000,2018-02-11 00:00:00.000,adult,3600.0,m,collar,transmission-end,150-2381_Ray_MC729,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-2179,Ben_MC236,Felis catus,2017-06-30 14:01:05.000,2018-02-11 00:00:00.000,adult,5000.0,m,collar,transmission-end,150-2179_Ben_MC236,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-1980,Syd_MC793,Felis catus,2017-07-02 00:00:00.000,,adult,4000.0,m,collar,transmission-end,150-1980_Syd_MC793,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
150-1779,Max_MC629,Felis catus,2017-07-06 00:00:00.000,,adult,4800.0,m,collar,transmission-end,150-1779_Max_MC629,"mean error 3.3m (+/-4.5m, range 0.1-75.9 m) based on stationary collars",none,"Scotia Wildlife Sanctuary, Australia",Telemetry Solutions,116.0,Q400E GPS collar,other-wireless
